Year,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Equity Share Capital,145,145,145,151,151,151,151,151,151,151,151,151,151,151,157
Total Share Capital,145,145,145,151,151,151,151,151,151,151,151,151,151,151,157
Reserves and Surplus,11691,13723,15043,18428,20827,23553,29733,36280,41606,45991,48286,51216,53935,60231,83825
Total Reserves and Surplus,11691,13723,15043,18428,20827,23553,29733,36280,41606,45991,48286,51216,53935,60231,83825
TotalShareholdersFunds,11835,13868,15187,18579,20978,23704,29884,36431,41757,46142,48437,51367,54086,60382,83982
Long Term Borrowings,420,139,0,543,460,145,0,0,0,0,0,0,0,0,0
Deferred Tax Liabilities [Net],221,164,302,409,587,481,194,466,559,564,598,385,0,0,0
Other Long Term Liabilities,0,96,97,250,239,105,808,1105,1585,2037,2170,2165,2211,2610,3229
Long Term Provisions,0,140,168,226,198,293,15,22,27,40,52,45,83,88,145
Total Non-Current Liabilities,641,539,567,1428,1484,1024,1017,1593,2171,2640,2820,2594,2295,2697,3374
Short Term Borrowings,402,31,1078,846,1225,35,77,484,111,150,106,489,382,1216,33
Trade Payables,2318,2608,3350,4158,4898,5561,7407,8367,10497,9633,7494,10162,9761,11780,14582
Other Current Liabilities,621,993,1589,1075,1274,1866,3156,3927,4274,3743,3015,4715,6010,6141,7107
Short Term Provisions,628,386,530,648,678,1360,399,449,560,624,680,742,861,962,1207
Total Current Liabilities,3969,4019,6548,6728,8074,8823,11039,13226,15442,14150,11295,16107,17014,20099,22929
Total Capital And Liabilities,16445,18425,22302,26734,30536,33551,41940,51251,59370,62932,62552,70067,73394,83179,110285
Tangible Assets,5005,5484,7311,9577,10608,11967,12163,12920,13047,14957,15375,14733,13367,17257,25029
Intangible Assets,19,46,210,223,183,292,347,373,312,451,336,224,350,548,0
Capital Work-In-Progress,388,863,611,1941,2621,1883,1007,1252,2126,1600,1337,1192,2639,2808,0
Other Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fixed Assets,5412,6392,8132,11740,13412,14142,13517,14545,15485,17008,17119,16447,16647,20702,25029
Non-Current Investments,7177,1111,1393,1874,1305,9818,18875,26302,34073,31470,35249,33371,36663,47756,64602
Deferred Tax Assets [Net],84,0,0,0,0,0,0,0,0,0,0,0,203,341,112
Long Term Loans And Advances,0,1255,1672,1280,1638,1349,0,0,0,0,0,0,0,0,0
Other Non-Current Assets,0,47,26,895,9,44,1701,1627,1891,2093,1757,1723,3100,2779,2779
Total Non-Current Assets,12673,8805,11223,15788,16364,25353,34094,42474,51449,50570,54125,51541,56613,71579,92522
Current Investments,0,3996,4754,5205,8813,2996,1057,2179,1217,5046,1219,8416,4100,0,3912
Inventories,1209,1415,1797,1841,1706,2615,3132,3262,3161,3326,3215,3050,3533,4284,4120
Trade Receivables,810,825,938,1470,1414,1070,1322,1199,1462,2310,1975,1277,2030,3296,4601
Cash And Cash Equivalents,98,2509,2436,775,630,18,42,14,71,179,21,3036,3036,38,460
Short Term Loans And Advances,1656,684,778,1115,1251,1173,148,3,3,16,17,23,31,30,33
OtherCurrentAssets,0,193,376,540,358,326,2145,2120,2007,1485,1981,2725,4051,3953,4637
Total Current Assets,3772,9620,11079,10946,14172,8198,7846,8776,7921,12362,8427,18527,16781,11600,17762
Total Assets,16445,18425,22302,26734,30536,33551,41940,51251,59370,62932,62552,70067,73394,83179,110285
Contingent Liabilities,3657,6385,6108,8193,7210,9229,9369,9642,10181,12090,12956,15502,20420,9627,0
Raw Materials,2613,2969,3045,4234,3096,3182,3363,3725,3888,4397,2488,2875,4001,3844,0
"Stores, Spares And Loose Tools",0,86,87,13,42,23,63,20,66,59,64,475,44,76,0
Trade/Other Goods,0,86,87,13,42,23,63,20,66,59,64,475,44,76,0
Capital Goods,397,825,1163,1476,1731,1011,738,1482,648,1331,917,672,803,1101,0
Expenditure In Foreign Currency,992,2338,2439,3102,3087,3300,3793,0,3873,12803,9099,7855,7467,6717,0
Dividend Remittance In Foreign Currency,55,94,118,118,136,204,425,0,0,0,0,0,0,0,0
FOB Value Of Goods,4544,3499,3692,4560,4142,4633,4735,0,0,0,0,0,0,0,0
Other Earnings,0,0,0,0,0,0,57,0,5456,5219,5425,4586,11064,15831,0
Bonus Equity Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-Current Investments Quoted Market Value,215,264,172,147,238,561,584,329,338,1077,84,1132,1484,1580,0
Non-Current Investments Unquoted Book Value,11,420,1387,1867,1278,9791,18405,25606,33042,30609,34776,32422,39502,46395,0
Current Investments Quoted Market Value,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Current Investments Unquoted Book Value,0,3996,4754,5230,8813,2996,1057,2179,1217,5046,1219,8416,4100,0,0
